Matriz,np,Configuração,Tempo_Medio_Real,Desvio_Real,Tempo_Medio_Total,Desvio_Total,Tempo_Medio_Computacao,Desvio_Computacao,Tempo_Medio_Comunicacao,Desvio_Comunicacao,Tempo_Sequencial,Speedup,Eficiência (%)
256,2,--host fct-deei-linux:2,0.7819252741935485,1.663471836558808,0.29926876271186437,0.013486753212637417,0.03238019830508475,0.011355813353680033,0.0015880677966101692,0.0024774849654326998,0.0824667,0.2755606674506115,13.778033372530574
256,3,--host fct-deei-linux:3,0.7583344032258065,1.59792629060244,0.2910318135593221,0.00610407380213263,0.02128782542372881,0.0037606685724653663,0.002966169491525424,0.0034760266464225207,0.0824667,0.2833597433608079,9.445324778693596
256,4,--host fct-deei-linux:4,1.8712655967741938,1.6698151407674382,1.3250465593220342,1.0260075190288487,0.019782823728813563,0.004992592233062313,0.0042342000000000005,0.004766647685019677,0.0824667,0.06223683192098129,1.5559207980245322
256,5,--host fct-deei-linux:4 --host fct-deei-aval:1,2.900105322580645,0.5970800101963921,2.3237328644067805,0.008651375877136804,0.01979962372881356,0.00593744787808234,0.004295249152542372,0.004979596727937635,0.0824667,0.03548888999383873,0.7097777998767746
256,6,--host fct-deei-linux:4 --host fct-deei-aval:2,2.829299,0.33285348950893673,2.322753068965517,0.008221942562136634,0.01854948965517241,0.005051931948299215,0.003843710344827587,0.004555559100573466,0.0824667,0.03550386009681526,0.5917310016135877
512,2,--host fct-deei-linux:2,0.8156209677419356,0.7887729248206963,0.5275800508474576,0.06951215040736396,0.2325200338983051,0.06909217281707848,0.004775237288135589,0.021228195828075863,0.574467,1.0888717249206585,54.44358624603293
512,3,--host fct-deei-linux:3,0.7460102096774194,0.7582267294048906,0.4654382203389831,0.038731129656712784,0.1656273389830509,0.03152207220980801,0.0058508474576271195,0.02115472125979867,0.574467,1.2342497347588046,41.141657825293485
512,4,--host fct-deei-linux:4,1.919156983870968,1.2989914573436905,1.5398358813559325,1.084870024125393,0.15732584745762712,0.04627505862579924,0.05184096610169491,0.0597205633282223,0.574467,0.3730702777845012,9.32675694461253
512,5,--host fct-deei-linux:4 --host fct-deei-aval:1,3.045270483870968,0.10385980122067484,2.581981661016949,0.04714288487420368,0.14786513559322034,0.05222685835272012,0.10439983050847457,0.04275346863449938,0.574467,0.22249073596198132,4.449814719239627
512,6,--host fct-deei-linux:4 --host fct-deei-aval:2,3.011275666666667,0.04146259350167396,2.5610398965517245,0.03832376777195733,0.13406448275862068,0.04369027000016357,0.09952699999999999,0.026863988229066594,0.574467,0.22431005497941786,3.738500916323631
1024,2,--host fct-deei-linux:2,2.479994032258064,0.4708269048591128,2.339347881355932,0.46377024223817787,1.904352271186441,0.454464585075473,0.028082999999999973,0.08931747323066383,4.50377,1.9252245618935167,96.26122809467583
1024,3,--host fct-deei-linux:3,2.177957580645161,0.27043521285104216,2.0159504576271186,0.1413742618867066,1.488699559322034,0.12346768018326473,0.10142179661016947,0.13674823906005842,4.50377,2.2340677981249493,74.46892660416498
1024,4,--host fct-deei-linux:4,3.26764564516129,1.09201727930036,2.9879131355932205,0.9561021066150519,1.3242732033898306,0.256474666420304,0.20210091525423726,0.20190747050023442,4.50377,1.5073296296164986,37.683240740412465
1024,5,--host fct-deei-linux:4 --host fct-deei-aval:1,4.235167741935483,0.3909449253796031,3.84682393220339,0.2876284206993379,1.1365449491525426,0.3245238549935531,0.2664841186440678,0.28632613894636644,4.50377,1.170776224588039,23.41552449176078
1024,6,--host fct-deei-linux:4 --host fct-deei-aval:2,4.202149,0.3604746571449831,3.8002374827586207,0.23795221867179564,1.0809962413793104,0.335187307642592,0.2877110344827586,0.3014869134312801,4.50377,1.1851285664207174,19.752142773678624
2048,2,--host fct-deei-linux:2,17.923803225806445,4.815107601472674,18.56727052542373,3.4953835473689088,17.466861966101696,3.487119035876656,0.20459808474576252,0.3165123466126577,36.0703,1.9426818794183982,97.1340939709199
2048,3,--host fct-deei-linux:3,16.632745161290323,3.420817174957528,17.098996237288137,2.2766862136213826,15.605152186440678,2.2480032974601807,0.5066551525423728,0.5691475302447366,36.0703,2.10949809564498,70.316603188166
2048,4,--host fct-deei-linux:4,15.240356451612906,3.2231492702889595,15.437997966101694,2.499361809824708,12.615817220338982,2.964509517683188,0.8171587627118644,1.2750040334934354,36.0703,2.336462284760117,58.41155711900292
2048,5,--host fct-deei-linux:4 --host fct-deei-aval:1,15.221182258064516,4.26969906113193,15.264885203389827,3.698371985511094,11.178067949152542,3.824482500680043,1.0326396271186442,1.7836515623357285,36.0703,2.362959139187629,47.25918278375258
2048,6,--host fct-deei-linux:4 --host fct-deei-aval:2,16.322703333333333,4.760154138223223,16.22310272413793,4.359871990391485,12.276284896551722,4.517968890147811,0.8045906206896553,1.6290742074052675,36.0703,2.223390963698451,37.05651606164085
