Ficheiro,MatrixSize,Threads,Desvio_Padrao_Real,Desvio_Padrao_Extra
tempos_256_threads2.csv,256,2,0.007065864192128885,0.006855880161726431
tempos_256_threads4.csv,256,4,0.004811982170976229,0.003427652841231153
tempos_256_threads6.csv,256,6,0.0037194734517967316,0.0026773985334455816
tempos_256_threads8.csv,256,8,0.005412204174177882,0.0052819516555866
tempos_256_threads10.csv,256,10,0.005580578567035602,0.003674659359820211
tempos_512_threads2.csv,512,2,0.04165993968685799,0.03946316176257106
tempos_512_threads4.csv,512,4,0.0052462356509927355,0.0029553902548767903
tempos_512_threads6.csv,512,6,0.02207718955960144,0.019756996317498648
tempos_512_threads8.csv,512,8,0.020475272442856414,0.01983293809376297
tempos_512_threads10.csv,512,10,0.004657955745188864,0.0037095199949728577
tempos_1024_threads2.csv,1024,2,0.3151164791030435,0.3160508568471493
tempos_1024_threads4.csv,1024,4,0.05504840085580696,0.053761192688261385
tempos_1024_threads6.csv,1024,6,0.03763649488364234,0.03572781755466656
tempos_1024_threads8.csv,1024,8,0.0368079201871791,0.03505587705510016
tempos_1024_threads10.csv,1024,10,0.01541849165961026,0.014141753022420041
tempos_2048_threads2.csv,2048,2,0.5416519389686568,0.5311254062202119
tempos_2048_threads4.csv,2048,4,0.8556984113952577,0.8524991033846425
tempos_2048_threads6.csv,2048,6,1.3181555944820658,1.2631488703562817
tempos_2048_threads8.csv,2048,8,1.9330720045338825,1.8765805745564645
tempos_2048_threads10.csv,2048,10,0.5401651939745927,0.5427479096252474
