Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  16:47:18 up  2:33, 26 users,  load average: 2.07, 0.66, 1.01
1,0.558,0.617,0.008,0.494156
2,0.473,0.615,0.004,0.409670
3,0.554,0.617,0.004,0.452426
4,0.509,0.613,0.02,0.422036
5,0.463,0.648,0.004,0.397001
6,0.444,0.614,0.004,0.378198
7,0.415,0.603,0.004,0.356251
8,0.456,0.609,0.008,0.397179
9,0.448,0.618,0.008,0.384498
10,0.514,0.615,0.004,0.441611
11,0.511,0.598,0.012,0.450194
12,0.451,0.612,0.004,0.390789
13,0.465,0.613,0.008,0.404144
14,0.469,0.612,0.008,0.400938
15,0.428,0.614,0.008,0.357457
16,0.534,0.62,0.012,0.468444
17,0.519,0.623,0.004,0.451170
18,0.503,0.62,0,0.436259
19,0.434,0.621,0,0.374133
20,0.458,0.609,0.004,0.393326
21,0.434,0.604,0.008,0.372909
22,0.514,0.597,0.008,0.453585
23,0.433,0.615,0,0.373927
24,0.531,0.607,0.008,0.471081
25,0.526,0.659,0.004,0.465755
26,0.507,0.616,0,0.444432
27,0.535,0.618,0.012,0.468926
28,0.464,0.634,0.008,0.397266
29,0.445,0.641,0.004,0.379759
30,0.524,0.607,0.008,0.464740
Média,0.483967,0.616967,0.00626667,0.418407
Total,14.519,18.509,0.188,12.5522
Uptime depois da execução:  16:47:34 up  2:33, 27 users,  load average: 2.80, 0.89, 1.08
