Execução,Tempo_real, Tempo_user, Tempo_sys
Uptime antes da execução:  18:27:36 up  4:13, 13 users,  load average: 1.15, 1.53, 3.36
1,34.911,34.706,0.092
2,34.652,34.527,0.084
3,35.317,35.125,0.096
4,36.224,36.074,0.116
5,35.529,35.276,0.08
6,35.589,35.483,0.052
7,34.565,34.41,0.088
8,34.628,34.477,0.076
9,34.874,34.721,0.088
10,34.921,34.826,0.056
11,34.672,34.504,0.072
12,34.516,34.438,0.052
13,34.838,34.752,0.057
14,34.517,34.379,0.112
15,34.289,34.185,0.076
16,53.489,35.215,0.048
17,34.867,34.793,0.057
18,34.519,34.417,0.08
19,34.653,34.539,0.088
20,34.78,34.686,0.072
21,53.655,35.17,0.096
22,34.502,34.4,0.08
23,34.52,34.393,0.104
24,34.591,34.488,0.08
25,35.254,35.145,0.088
26,35.088,34.982,0.084
27,34.467,34.388,0.052
28,34.462,34.323,0.1
29,34.497,34.428,0.048
30,34.723,34.628,0.072
Média,36.0703,34.7293,0.0782
Total,1082.11,1041.88,2.346
Uptime depois da execução:  18:46:16 up  4:32, 12 users,  load average: 1.15, 1.87, 2.35
